"BLDG_NUM,N,19,11","PRG__NUM,N,19,11","NAME,C,254","GRADES,C,254","ADDRESS,C,254","ZIPCODE,C,254","CATEGORY,C,254","TYPE,C,254","x_1,N,19,11","y_1,N,19,11",,Match Y/N,Match Type,Matched Address,Tiger Line ID,Tiger Side,Longitude,Latitude
60.00000000000,60.00000000000,Gwynns Falls,Pre-K - 5.,2700 Gwynns Falls Parkway,21216,ES,Traditional,1407564.84007000000,600553.52585100000,,Match,Exact,"2700 Gwynns Falls Pkwy, BALTIMORE, MD, 21216",206442239,L,-76.661804,39.314934
61.00000000000,61.00000000000,John Eager Howard,Pre-K - 5.,2011 Linden Avenue,21217,ES,Traditional,1416374.75486000000,599332.24581300000,,Match,Exact,"2011 Linden Ave, BALTIMORE, MD, 21217",206464635,R,-76.63279,39.31098
62.00000000000,62.00000000000,Edgecombe Circle,Pre-K - 8.,2835 Virginia Avenue,21215,PK8,Traditional,1407729.53200000000,611307.59587800000,,Match,Exact,"2835 Virginia Ave, BALTIMORE, MD, 21215",206464917,L,-76.66249,39.345062
63.00000000000,63.00000000000,Rosemont,Pre-K - 8.,2777 Prestman Street,21216,Charter,Conversion Charter,1407782.23498000000,596596.94944600000,,Match,Non_Exact,"2777 Presstman St, BALTIMORE, MD, 21216",206439389,L,-76.66352,39.304676
64.00000000000,64.00000000000,Liberty,Pre-K - 5.,3901 Maine Avenue,21207,ES,Traditional,1401809.06516000000,604511.16098000000,,Match,Exact,"3901 Maine Ave, BALTIMORE, MD, 21207",206405336,L,-76.68289,39.326157
66.00000000000,66.00000000000,Mount Royal,K - 8.,121 McMechen Street,21217,ES/MS,Traditional,1418645.48490000000,598358.26777400000,,Match,Non_Exact,"121 Mc Mechen St, BALTIMORE, MD, 21217",206416937,L,-76.624794,39.309345
67.00000000000,67.00000000000,Edgewood,Pre-K - 5.,1900 Edgewood Street,21216,ES,Traditional,1403855.01514000000,598319.49816600000,,Match,Exact,"1900 Edgewood St, BALTIMORE, MD, 21216",206413229,L,-76.67598,39.309937
73.00000000000,73.00000000000,Sarah M. Roach,Pre-K - 5.,3434 Old Frederick Road,21229,ES,Traditional,1404404.70597000000,588770.21575600000,,No_Match,,,,,,
75.00000000000,75.00000000000,Calverton,Pre-K - 8.,1100 Whitmore Avenue,21216,PK8,Traditional,1408913.13691000000,595340.73378300000,,Match,Exact,"1100 Whitmore Ave, BALTIMORE, MD, 21216",206465558,L,-76.65825,39.30117
76.00000000000,76.00000000000,Francis Scott Key,Pre-K - 8.,1425 E. Fort Avenue,21230,ES/MS,Traditional,1427084.31514000000,583468.16468000000,,Match,Exact,"1425 E Fort Ave, BALTIMORE, MD, 21230",206422867,R,-76.59462,39.269302
